	subsys4	indices	HLD_85_R1	HLD_80_R1	HLD_72_2_R1	HLD_47_R1	HLD_28_R1	HLD_23_R1	HLD_112_R1	HLD_111_2_R1	HLD_102_R1	HLD_100_R1	CL_177_R1	CL_173_2_R1	CL_169_BL_R1	CL_166_BL_R2_R1	CL_165_R1	CL_160_R1	CL_144_2_R1	CL_141_BL_R2_R1	CL_139_BL_2_R1	CL_119_R1
3146	IncI1 plasmid conjugative transfer integral membrane protein TraY	3146	10	1	1	1	1	1	1	1	1	1	0	1	3	0	516	1	1	1	1	1
3147	IncI1 plasmid conjugative transfer lipoprotein PilN	3147	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3148	IncI1 plasmid conjugative transfer NusG-type transcription antiterminator TraB	3148	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3149	IncI1 plasmid conjugative transfer pilus-tip adhesin protein PilV	3149	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3150	IncI1 plasmid conjugative transfer prepilin PilS	3150	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3151	IncI1 plasmid conjugative transfer protein PilL	3151	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3152	IncI1 plasmid conjugative transfer protein PilM	3152	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3153	IncI1 plasmid conjugative transfer protein TraE	3153	10	1	1	1	1	460	1	1	1	1	0	1	3	0	1	1	1	40	1	1
3154	IncI1 plasmid conjugative transfer protein TraF	3154	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3155	IncI1 plasmid conjugative transfer protein TraH	3155	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3156	IncI1 plasmid conjugative transfer protein TraK	3156	10	1	1	1	1	1	1	1	1	1	0	1	3	0	61	1	1	1	1	1
3157	IncI1 plasmid conjugative transfer protein TraO	3157	10	1	1	1	1	1	1	1	1	1	0	1	3	0	283	1	1	1	1	1
3158	IncI1 plasmid conjugative transfer protein TraP	3158	10	1	1	1	1	1	1	1	1	1	0	1	3	0	157	1	1	1	1	1
3159	IncI1 plasmid conjugative transfer protein TraQ	3159	10	1	1	1	1	1	1	1	1	1	0	1	3	0	233	1	1	1	1	1
3160	IncI1 plasmid conjugative transfer protein TraV	3160	10	1	1	1	1	178	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3161	IncI1 plasmid conjugative transfer protein TraX	3161	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3162	IncI1 plasmid conjugative transfer putative membrane protein PilT	3162	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3163	IncI1 plasmid pilus assembly protein PilO	3163	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3164	IncI1 plasmid pilus assembly protein PilP	3164	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3165	IncN plasmid KikA protein	3165	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3166	IncQ plasmid conjugative transfer DNA nicking endonuclease TraR (pTi VirD2 homolog)	3166	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3167	IncQ plasmid conjugative transfer DNA primase TraO (pTi TraA homolog)	3167	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3168	IncQ plasmid conjugative transfer protein TraB	3168	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3169	IncQ plasmid conjugative transfer protein TraG	3169	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3170	IncQ plasmid conjugative transfer protein TraQ (RP4 TrbM homolog)	3170	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3171	IncW plasmid conjugative protein TrwB (TraD homolog)	3171	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3172	IncW plasmid conjugative relaxase protein TrwC (TraI homolog)	3172	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3173	Indigoidine synthase A-like protein, uncharacterized enzyme involved in pigment biosynthesis	3173	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3174	Indole-3-glycerol phosphate synthase (EC 4.1.1.48)	3174	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3175	Indole-3-pyruvate decarboxylase (EC 4.1.1.74)	3175	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3176	Indoleacetamide hydrolase (EC 3.5.1.-)	3176	10	0	37	12	41	12	96	0	10	8	35	3	57	5	0	0	42	167	15	243
3177	Indoleamine 2,3-dioxygenase (EC 1.13.11.52)	3177	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3178	Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)	3178	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3179	Indolepyruvate oxidoreductase subunit IorB (EC 1.2.7.8)	3179	10	0	1	0	6	0	4	0	1	0	3	0	2	0	0	0	1	6	1	9
3180	Indolepyruvate oxidoreductase subunit IorB II (EC 1.2.7.8)	3180	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3181	Inducers of aerial mycelium formation biosynthesis protein BldG	3181	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3182	Inducible Fructanase (EC 3.2.1.80), FruB	3182	10	4	14	4	0	1	0	2	1	4	0	4	1	0	11	0	1	8	0	1
3183	Inhibitor of pro-sigmaK processing BofA	3183	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3184	Inhibitor of vertebrate lysozyme precursor	3184	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3185	Inner membrane ABC transporter permease protein YcjO	3185	10	1	1	1	1	1	1	1	1	1	30	1	3	183	1	1	1	119	1	1
3186	Inner membrane ABC transporter permease protein YcjP	3186	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3187	Inner membrane metabolite transport protein YhjE	3187	10	1	1	1	1	1	1	1	1	1	0	92	3	0	1	540	1	1	1	1
3188	Inner membrane protein CreD	3188	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3189	Inner membrane protein CreD-like protein	3189	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3190	Inner membrane protein DotU	3190	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3191	Inner membrane protein forms channel for type IV secretion of T-DNA complex (VirB10)	3191	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3192	Inner membrane protein forms channel for type IV secretion of T-DNA complex (VirB3)	3192	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3193	Inner membrane protein forms channel for type IV secretion of T-DNA complex (VirB8)	3193	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3194	Inner membrane protein of type IV secretion of T-DNA complex, TonB-like, VirB10	3194	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3195	Inner membrane protein of type IV secretion of T-DNA complex, VirB8	3195	10	1	1	1	1	1	20	1	8	1	0	1	3	0	1	1	1	1	52	1
3196	Inner membrane protein YccF	3196	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3197	Inner membrane protein YeaI	3197	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3198	Inner membrane protein YfeZ	3198	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3199	Inner membrane protein YghQ, probably involved in polysaccharide biosynthesis	3199	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3200	Inner membrane protein YhaH	3200	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3201	Inner membrane protein YhaI	3201	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3202	Inner membrane protein YhjD	3202	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3203	Inner membrane protein YphA	3203	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3204	Inner membrane protein YqjE	3204	10	1	1	1	1	12	1	1	1	1	123	1	3	0	1	1	1	1	1	1
3205	Inner membrane protein YqjF	3205	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3206	Inner membrane protein YqjK	3206	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3207	Inner membrane protein YrbG, predicted calcium/sodium:proton antiporter	3207	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3208	Inner membrane transport protein YbaT	3208	10	1	1	1	1	1	13	1	1	1	0	1	3	0	1	1	1	1	9	1
3209	Inner membrane transport protein YeiM, in cluster with pseudouridine metabolism operon	3209	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3210	Inner membrane transport protein YfaV	3210	10	1	1	1	1	35	1	1	1	1	2	1	3	8	1	1	1	1	1	1
3211	Inner spore coat protein H	3211	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3212	Inner-membrane permease FptX, ferripyochelin	3212	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3213	Inorganic pyrophospatase PpaX	3213	10	1	1	1	1	1	2	0	0	3	1	0	4	0	0	0	0	0	1	0
3214	Inorganic pyrophospatase PpaX (EC 3.1.3.18)	3214	10	8	1	201	6	69	1	1	1	20	14	61	55	7	15	4	1	1	26	1
3215	Inorganic pyrophosphatase (EC 3.6.1.1)	3215	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3216	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)	3216	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3217	Inosine-guanosine kinase (EC 2.7.1.73)	3217	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3218	Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)	3218	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	11	1	1
3219	Inosine/xanthosine triphosphatase (EC 3.6.1.-)	3219	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3220	Inositol transport system ATP-binding protein	3220	10	1	1	1	1	1	1	1	1	1	6	1	3	10	1	1	1	1	1	37
3221	Inositol transport system permease protein	3221	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3222	Inositol transport system sugar-binding protein	3222	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3223	Inositol-related sugar-phosphate epimerase	3223	10	0	0	5	0	0	5	0	0	0	1	0	0	0	3	0	3	0	6	0
3224	Inosose dehydratase (EC 4.2.1.44)	3224	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3225	Inosose isomerase (EC 5.3.99.-)	3225	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3226	Insertion element IS1 protein insA	3226	10	1	1	1	1	63	1	1	1	1	2	1	3	97	76	4	1	11	1	1
3227	Integral inner membrane protein of type IV secretion complex (VirB6)	3227	10	1	1	1	1	1	13	1	1	1	0	1	3	0	1	1	1	1	1	1
3228	Integral membrane protein CcmA involved in cell shape determination	3228	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3229	Integral membrane protein LafC, accessory function in glycolipid and LTA synthesis	3229	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	4	1	1
3230	Integral membrane protein YfiB	3230	10	8	1	9	6	23	1	1	1	1	61	1	3	25	1	1	1	18	9	1
3231	Integral membrane protein YggT, involved in response to extracytoplasmic stress (osmotic shock)	3231	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3232	Integral membrane sensor signal transduction histidine kinase (EC 2.7.13.3), glucose catabolism cluster	3232	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3233	Integrase	3233	10	0	16	1	3	4	1	0	70	2	1	1	26	1	1	0	3	2	1	17
3234	Integrase [Bacteriophage A118]	3234	10	1	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	6600	0	1
3235	Integrase regulator RinA [SA bacteriophages 11, Mu50B]	3235	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3236	Integrase, superantigen-encoding pathogenicity islands SaPI	3236	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3237	Integrase/recombinase (XerC/CodV family)	3237	10	15	1	9	1	46	1	1	8	1	48	1	19	17	5	1	1	134	18	1
3238	Integrase/recombinase clustered with segregation and condensation protein B	3238	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	869	1	1	1	1
3239	Integration host factor alpha subunit	3239	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3240	Integration host factor beta subunit	3240	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3241	Integron integrase	3241	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3242	Integron integrase IntI1	3242	10	23	1	9	1	758	1	1	1	1	0	1	3	0	1	1	1	148	1	1
3243	Integron integrase IntI2	3243	10	1	61	18	1	1	1	17	33	39	0	1	73	0	1	1	1	29	35	1
3244	Integron integrase IntI4	3244	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3245	Integron integrase IntIPac	3245	10	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3246	intein-containing	3246	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3247	Internalin A (LPXTG motif)	3247	10	1	0	0	0	3	3	1	1	6	0	1	1	2	2	0	0	0	0	0
3248	Internalin B (GW modules)	3248	10	31	1	1	1	1	1	1	1	1	0	11	3	0	1	1	1	1	1	1
3249	Internalin C2 (LPXTG motif)	3249	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3250	Internalin D (LPXTG motif)	3250	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3251	Internalin E (LPXTG motif)	3251	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3252	Internalin G (LPXTG motif)	3252	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3253	Internalin H (LPXTG motif)	3253	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3254	Internalin-like protein (LPXTG motif) Lin0290 homolog	3254	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	183	1	1	1	1
3255	Internalin-like protein (LPXTG motif) Lin0372 homolog	3255	10	0	0	0	1	0	4	0	2	9	0	5	19	0	2	1	0	0	0	0
3256	Internalin-like protein (LPXTG motif) Lin0661 homolog	3256	10	1	1	1	1	1	1	1	1	1	180	11	3	195	1	1	1	1	1	1
3257	Internalin-like protein (LPXTG motif) Lin0739 homolog	3257	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3258	Internalin-like protein (LPXTG motif) Lin0740 homolog	3258	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3259	Internalin-like protein (LPXTG motif) Lin1204 homolog	3259	10	0	1	1	9	1	7	0	1	0	8	0	4	0	0	0	3	14	2	17
3260	Internalin-like protein (LPXTG motif) Lmo0171 homolog	3260	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3261	Internalin-like protein (LPXTG motif) Lmo0331 homolog	3261	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3262	Internalin-like protein (LPXTG motif) Lmo0333 homolog	3262	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3263	Internalin-like protein (LPXTG motif) Lmo0409 homolog	3263	10	4	0	1	0	1	0	1	0	0	2	1	0	0	1	0	0	0	5	1
3264	Internalin-like protein (LPXTG motif) Lmo0732 homolog	3264	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3265	Internalin-like protein (LPXTG motif) Lmo0801 homolog	3265	10	8	1	1	1	1	1	1	1	1	0	51	3	0	1	1	1	1	1	1
3266	Internalin-like protein (LPXTG motif) Lmo1136 homolog	3266	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3267	Internalin-like protein (LPXTG motif) Lmo2026 homolog	3267	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3268	Internalin-like protein (LPXTG motif) Lmo2396 homolog	3268	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3269	Internalin-like protein (LPXTG motif) Lmo2821 homolog	3269	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3270	Internalin-like protein Lmo2470 homolog	3270	10	4	0	17	0	5	4	1	1	9	0	1	0	0	0	0	0	0	0	0
3271	internalin, putative	3271	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3272	internalin, putative (LPXTG motif)	3272	10	1	1	1	1	1	1	9	1	1	2	1	3	0	1	1	1	2736	1	1
3273	InterPro IPR001440 COGs COG0457	3273	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3274	Intracellular PHB depolymerase (EC 3.1.1.-)	3274	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3275	Intracellular septation protein IspA	3275	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3276	Intradiol ring-cleavage dioxygenase (EC 1.13.11.1)	3276	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3277	Invasion protein IagB precursor	3277	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3278	Invasion protein InvA	3278	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3279	Invasion protein InvE	3279	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3280	Invasion protein invH precursor	3280	10	1	1	1	1	52	1	1	1	1	71	1	3	0	1	1	11	1	1	1
3281	Iojap protein	3281	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3282	iron aquisition 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58,Irp5)	3282	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3283	iron aquisition outermembrane yersiniabactin receptor (FyuA,Psn,pesticin receptor)	3283	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3284	iron aquisition regulator (YbtA,AraC-like,required for transcription of FyuA/psn,Irp2)	3284	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3285	iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase)	3285	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3286	iron aquisition yersiniabactin synthesis enzyme (Irp2)	3286	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3287	iron aquisition yersiniabactin synthesis enzyme (Irp3)	3287	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3288	iron aquisition yersiniabactin synthesis enzyme (YbtT,resembles thioesterases)	3288	10	1	9	1	1	1051	1	1	1	1	42	1	3	79	1	1	21	14	9	1
3289	Iron binding protein IscA for iron-sulfur cluster assembly	3289	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3290	Iron compound ABC uptake transporter ATP-binding protein	3290	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3291	Iron compound ABC uptake transporter ATP-binding protein PiaD	3291	10	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3292	Iron compound ABC uptake transporter ATP-binding protein PiuD	3292	10	1	1	1	1	1	1	1	1	1	0	1	3	0	20	1	1	1	1	1
3293	Iron compound ABC uptake transporter permease protein	3293	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3294	Iron compound ABC uptake transporter permease protein PiaB	3294	10	1	1	9	1	1	1	1	17	1	980	21	109	1783	1	1	394	376	121	2702
3295	Iron compound ABC uptake transporter permease protein PiaC	3295	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3296	Iron compound ABC uptake transporter permease protein PiuB	3296	10	1	1	1	1	1	1	1	1	1	0	1	3	2	5	1	1	1	1	1
3297	Iron compound ABC uptake transporter permease protein PiuC	3297	10	8	1	1	1	1	7	1	1	1	0	1	3	0	5	1	1	1	1	1
3298	Iron compound ABC uptake transporter substrate-binding protein	3298	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3299	Iron compound ABC uptake transporter substrate-binding protein PiaA	3299	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3300	Iron compound ABC uptake transporter substrate-binding protein PiuA	3300	10	1	1	1	16	1	1	1	17	1	0	1	3	2	5	1	1	4	1	5
3301	Iron siderophore receptor protein	3301	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3302	Iron siderophore sensor protein	3302	10	1	1	1	55	1	1	1	1	1	0	470	1692	0	1	1	1	9982	1	1
3303	iron-chelator utilization protein	3303	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3304	Iron-regulated protein A precursor	3304	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3305	Iron-responsive regulator Irr	3305	10	1	1	1	1	1	1	170	1	1	0	1	3	0	1	33	1	1	1	1
3306	Iron-responsive repressor RirA	3306	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3307	Iron-siderophore [Alcaligin-like] ferric reductase (1.6.99.14)	3307	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3308	Iron-siderophore [Alcaligin-like] receptor	3308	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3309	Iron-siderophore [Alcaligin-like] transport system, ATP-binding component	3309	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3310	Iron-siderophore [Alcaligin-like] transport system, permease component	3310	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3311	Iron-siderophore [Alcaligin-like] transport system, substrate-binding component	3311	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3312	Iron-siderophore [Alcaligin-like] transport system, transmembran component	3312	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3313	Iron-sulfur cluster assembly ATPase protein SufC	3313	10	1	1	1	1	6	1	1	1	1	0	1	3	0	15	1	21	1	1	1
3314	Iron-sulfur cluster assembly protein SufB	3314	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3315	Iron-sulfur cluster assembly protein SufD	3315	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3316	Iron-sulfur cluster assembly scaffold protein IscU	3316	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3317	Iron-sulfur cluster assembly scaffold protein NifU	3317	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3318	Iron-sulfur cluster regulator IscR	3318	10	1	1	1	1	1	1	1	1	1	0	1	3	7	1	1	1	1	1	19
3319	Iron-sulfur cluster regulator SufR	3319	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3320	Iron-uptake factor PiuB	3320	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3321	Iron-uptake factor PiuC	3321	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3322	Isoaspartyl aminopeptidase (EC 3.4.19.5)	3322	10	1	1	1	1	12	1	1	1	1	0	1	3	0	1	8	1	1	1	1
3323	Isoaspartyl dipeptidase (EC 3.4.19.5)	3323	10	8	18	1	1	1	1	9	8	1	0	1	3	13	1	1	1	1427	286	1
3324	isobutyryl-CoA dehydrogenase	3324	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3325	Isochorismatase (EC 3.3.2.1)	3325	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3326	Isochorismatase (EC 3.3.2.1) of siderophore biosynthesis	3326	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3327	Isochorismate pyruvate-lyase (EC 4.-.-.-)	3327	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3328	Isochorismate pyruvate-lyase (EC 4.-.-.-) [pyochelin] siderophore	3328	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3329	Isochorismate pyruvate-lyase of siderophore biosynthesis	3329	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3330	Isochorismate synthase (EC 5.4.4.2)	3330	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3331	Isochorismate synthase (EC 5.4.4.2) [enterobactin] siderophore	3331	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3332	Isochorismate synthase (EC 5.4.4.2) [pyochelin] siderophore	3332	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3333	Isochorismate synthase (EC 5.4.4.2) of siderophore biosynthesis	3333	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3334	Isocitrate dehydrogenase [NAD] (EC 1.1.1.41)	3334	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3335	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	3335	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3336	Isocitrate dehydrogenase phosphatase (EC 2.7.11.5)/kinase (EC 3.1.3.-)	3336	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3337	Isocitrate lyase (EC 4.1.3.1)	3337	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3338	Isocitrate lyase (EC 4.1.3.1), group III, Mycobacterial type ICL2	3338	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3339	Isoflavone reductase homolog P3 (EC 1.3.1.-)	3339	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3340	Isohexenylglutaconyl-CoA hydratase	3340	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3341	Isoleucyl-tRNA synthetase (EC 6.1.1.5)	3341	10	0	0	0	0	1	1	1	0	0	0	1	2	0	0	0	0	0	0	0
3342	Isoleucyl-tRNA synthetase related gene in Burkholderia	3342	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3343	Isopentenyl-diphosphate delta-isomerase (EC 5.3.3.2)	3343	10	53	1	28	136	35	13	1	33	32	14	1	19	0	15	12	11	1	9	1
