	HLD_85_R1	HLD_80_R1	HLD_72_2_R1	HLD_47_R1	HLD_28_R1	HLD_23_R1	HLD_112_R1	HLD_111_2_R1	HLD_102_R1	HLD_100_R1	CL_177_R1	CL_173_2_R1	CL_169_BL_R1	CL_166_BL_R2_R1	CL_165_R1	CL_160_R1	CL_144_2_R1	CL_141_BL_R2_R1	CL_139_BL_2_R1	CL_119_R1
Methylglutaconyl-CoA hydratase (EC 4.2.1.18)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Methylglyoxal synthase (EC 4.2.3.3)	10	0	2	1	4	0	2	1	1	0	0	2	15	0	0	0	3	0	3	0
Methylisocitrate lyase (EC 4.1.3.30)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Methylmalonate-semialdehyde dehydrogenase (EC 1.2.1.27)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Methylmalonate-semialdehyde dehydrogenase [inositol] (EC 1.2.1.27)	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylmalonyl-CoA decarboxylase, alpha chain (EC 4.1.1.41)	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylmalonyl-CoA decarboxylase, beta chain (EC 4.1.1.41)	10	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0
Methylmalonyl-CoA epimerase (EC 5.1.99.1)	10	0	18	1	22	2	20	5	6	1	0	11	89	0	3	1	3	0	3	0
Methylmalonyl-CoA mutase (EC 5.4.99.2)	10	2	1	1	1	0	0	0	0	0	0	399	135	0	0	2	0	598	0	0
Methylthioadenosine deaminase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Methylthiol:coenzyme M methyltransferase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Methylthioribose-1-phosphate isomerase (EC 5.3.1.23)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Methylthioribulose-1-phosphate dehydratase (EC 4.2.1.109)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Methyltransferase, anthrose biosynthesis	10	1	1	1	1	1	1	1	1	1	26	1	3	0	1	1	1	1	1	1
Methyltransferase, FkbM family protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Mevalonate kinase (EC 2.7.1.36)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	15717	1	1
MFS superfamily export protein YceL	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Mg protoporphyrin IX monomethyl ester oxidative cyclase (aerobic) (EC 1.14.13.81)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Mg-protoporphyrin IX monomethyl ester oxidative cyclase (anaerobic) (EC 1.14.13.81)	10	176	18	128	1	6	67	42	1	1	6	92	164	32	461	8	1	22	18	1
Mg-protoporphyrin O-methyltransferase (EC 2.1.1.11)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MG(2+) CHELATASE FAMILY PROTEIN	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Mga-associated protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Mgl repressor and galactose ultrainduction factor GalS, HTH-type transcriptional regulator	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Mhp operon transcriptional activator	10	0	0	0	1	12	0	0	0	0	4	0	0	0	0	1	0	0	0	0
MiaB family protein, possibly involved in tRNA or rRNA modification	10	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0
Microbial collagenase (EC 3.4.24.3)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Microbial collagenase, secreted (EC 3.4.24.3)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Microcompartment protein protein similar to PduA/PduJ	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Microsomal dipeptidase (EC 3.4.13.19)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Minor curlin subunit CsgB, nucleation component of curlin monomers	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Minor fimbrial subunit StfE	10	1	1	1	1	1	1	1	1	1	0	11	3	0	1	1	1	1	1	1
Minor fimbrial subunit StfF	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Minor fimbrial subunit StfG	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Minor pilin of type IV secretion complex (VirB5)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Minor teichoic acid biosynthesis protein GgaA	10	0	0	0	2	0	0	1	0	1	0	1	1	0	0	0	3	0	0	0
Minor teichoic acid biosynthesis protein GgaB	10	3	7	1	1	2	1	1	20	3	0	2	8	0	1	0	1	1	8	0
Mitochondrial processing peptidase-like protein (EC 3.4.24.64)	10	2	0	13	0	3	2	0	1	2	0	0	0	0	0	0	0	0	0	0
Mitogenic factor 2	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Mitogenic factor 3	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Mitogenic factor 4	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Mlc, transcriptional repressor of MalT (the transcriptional activator of maltose regulon) and manXYZ operon	10	1	9	1	1	1	1	9	1	1	0	1	3	0	1	1	1	1	1	5
Mll7752 protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Mll9366 protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Mlr0789 protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Mlr7403 protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MltA-interacting protein MipA	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Mn-dependent transcriptional regulator MntR	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Molybdate-binding domain of ModE	10	1	1	1	1	17	1	1	1	1	0	1	3	0	1	1	11	1	1	1
Molybdenum ABC transporter, periplasmic molybdenum-binding protein ModA (TC 3.A.1.8.1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Molybdenum cofactor biosynthesis protein MoaA	10	31	26	28	49	1	80	9	1	45	0	143	73	0	41	1	1	1	208	1
Molybdenum cofactor biosynthesis protein MoaB	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Molybdenum cofactor biosynthesis protein MoaC	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Molybdenum cofactor biosynthesis protein MoaD	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Molybdenum cofactor biosynthesis protein MoaE	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Molybdenum transport ATP-binding protein ModC (TC 3.A.1.8.1)	10	1	1	1	1	144	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Molybdenum transport system permease protein ModB (TC 3.A.1.8.1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Molybdenum transport system protein ModD	10	0	32	0	179	0	0	26	0	0	0	0	0	0	227	0	0	0	16	0
Molybdopterin binding domain MoeA-like	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Molybdopterin biosynthesis enzyme	10	5	2	132	53	0	0	6	63	6	0	9	48	0	1	0	0	44	0	0
Molybdopterin biosynthesis Mog protein, molybdochelatase	10	1	1	1	1	6	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Molybdopterin biosynthesis protein MoeA	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Molybdopterin biosynthesis protein MoeB	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Molybdopterin oxidoreductase (EC 1.2.7.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Molybdopterin oxidoreductase subunit, predicted	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	244	0	0	0
Molybdopterin oxidoreductase, iron-sulfur binding subunit (EC 1.2.7.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Molybdopterin-guanine dinucleotide biosynthesis protein MobA	10	1	1	1	1	1	1	1	1	1	2	1	3	0	1	1	1	1	1	1
Molybdopterin-guanine dinucleotide biosynthesis protein MobB	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Monoamine oxidase (1.4.3.4)	10	3	0	0	0	19	0	0	0	0	83	0	0	0	1	0	0	0	0	0
Monoamine/putrescine oxidase (EC 1.4.3.10)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Monofunctional biosynthetic peptidoglycan transglycosylase (EC 2.4.2.-)	10	0	0	3	0	1	0	1	0	2	0	0	1	0	1	0	0	0	0	0
Monogalactosyldiacylglycerol synthase (EC 2.4.1.46)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Monogalactosyldiacylglycerol synthase precursor	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Monoglyceride lipase (EC 3.1.1.23)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Monomethylamine permease	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monooxygenase component A	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Monooxygenase component C	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Monooxygenase, FAD- and [2Fe-2S]-containing component B	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MotA/TolQ/ExbB proton channel family protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MotA/TolQ/ExbB proton channel family protein, probably associated with flagella	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Motility accessory factor	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MoxR-like ATPase in aerotolerance operon	10	31	1	1	1	1	1	1	1	1	0	21	3	0	10	1	1	213	1	1
MreB-like protein (Mbl protein)	10	1	1	1	1	1	1	1	1	1	0	1	1820	0	1	1	1	1	1	1
MSHA biogenesis protein MshE	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MSHA biogenesis protein MshG	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MSHA biogenesis protein MshH	10	2	1	0	1	36	0	0	0	0	17	1	0	56	0	0	0	9	9	0
MSHA biogenesis protein MshI	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MSHA biogenesis protein MshJ	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MSHA biogenesis protein MshK	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MSHA biogenesis protein MshK2	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MSHA biogenesis protein MshL	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MSHA biogenesis protein MshM	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MSHA biogenesis protein MshN	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MSHA biogenesis protein MshO	10	0	0	16	0	0	40	0	0	0	22	0	0	0	19	0	27	0	28	4
MSHA biogenesis protein MshP	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MSHA biogenesis protein MshQ	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MSHA pilin protein MshA	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MSHA pilin protein MshB	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MSHA pilin protein MshC	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MSHA pilin protein MshD	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MSM (multiple sugar metabolism) operon regulatory protein	10	38	9	1	1	1	1	9	1	1230	0	11	3	0	41	337	1	116	18	56
Mucin-desulfating sulfatase MdsA precursor (EC 3.1.6.14)	10	1	1	1	27	1	1	1	1	1	42	1	3	0	1	45	1	340	1	1
Muconate cycloisomerase (EC 5.5.1.1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Muconolactone isomerase (EC 5.3.3.4)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Muconolactone isomerase (EC 5.3.3.4),putative	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps	10	3	0	4	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0
Multicopper oxidase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Multidrug efflux membrane fusion protein MexE	10	1	1	1	1	1	7	1	1	1	0	1	3	0	1	1	1	1	1	1
Multidrug efflux pump component MtrF	10	1	1	1	1	1	1	1	1	1	2	1	3	0	1	1	1	1	1	1
Multidrug efflux RND membrane fusion protein MexC	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Multidrug efflux RND transporter MexD	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Multidrug efflux transporter MdtP	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Multidrug efflux transporter MexB	10	1	1	1	1	1	13	1	1	1	0	1	3	0	5	1	1	1	1	1
Multidrug efflux transporter MexF	10	1	1	1	1	1	20	1	1	1	0	1	3	0	1	1	1	1	1	1
Multidrug resistance efflux pump PmrA	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Multidrug resistance transporter, Bcr/CflA family	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Multidrug transporter MdtB	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Multidrug transporter MdtC	10	23	26	1	1	178	1	1	1	1	422	11	3	445	1	1	1	181	87	1
Multidrug transporter MdtD	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Multidrug-efflux transporter, major facilitator superfamily (MFS) (TC 2.A.1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Multiple antibiotic resistance protein MarA	10	1	1	1	1	23	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Multiple antibiotic resistance protein MarB	10	1	1	1	1	1	1	1	1	1	26	1	3	151	1	1	1	69	52	1
Multiple antibiotic resistance protein MarC	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Multiple antibiotic resistance protein MarR	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	11	1	1
Multiple polyol-specific dehydrogenase (EC 1.1.1.-)	10	130	78	28	1	1	1	1	1	1	0	1	3	0	1	1	1	11	1	1
Multiple sugar ABC transporter, ATP-binding protein	10	1	1	9	1	1	1	1	1	1	0	1	3	0	10	1	1	4	1	1
Multiple sugar ABC transporter, membrane-spanning permease protein MsmF	10	1	1	1	1	207	1	1	1	1	2300	1	3	357	1	1	145	1	1	1
Multiple sugar ABC transporter, membrane-spanning permease protein MsmG	10	1	1	1	1	1	1	9	1	1	0	1	3	0	1	1	1	1	1	14
Multiple sugar ABC transporter, substrate-binding protein	10	1	1	1	11	23	1	1	1	1	0	1	3	0	15	4	1	14	1	1
Multiple sugar metabolism regulator	10	15	70	37	76	80	1	1	156	78	513	31	3	75	61	8	145	557	1	5
Multiple virulence factor regulator MvfR/PqsR	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Muramoyltetrapeptide carboxypeptidase (EC 3.4.17.13)	10	1	1	1345	1	1	1	1	1	1	14	1	3	0	1	1	1	1	1	1
Murein-DD-endopeptidase (EC 3.4.99.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Mutator mutT protein (7,8-dihydro-8-oxoguanine-triphosphatase) (EC 3.6.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MutS domain protein, family 2	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MutS domain protein, family 4	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MutS domain protein, family 5	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MutS-related protein, family 1	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MxiG protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MxiH protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MxiK protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MxiN	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
MYCOLIC ACID SYNTHASE (PcaA/UmaA2) (CYCLOPROPANE SYNTHASE)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Mycothiol S-conjugate amidase Mca	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Myo-inositol 2-dehydrogenase (EC 1.1.1.18)	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myo-inositol 2-dehydrogenase 1 (EC 1.1.1.18)	10	183	1	1	1	1	1	1	1	84	0	1	3	0	1	20	1	1	1	1
Myo-inositol 2-dehydrogenase 2 (EC 1.1.1.18)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Myo-inositol ABC transporter, periplasmic sugar-binding protein InoE	10	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
Myo-inositol ABC transporter, permease protein InoF	10	1	1	3	0	1	0	0	1	0	3	0	5	0	0	0	3	0	5	0
Myo-inositol ABC transporter, permease protein InoG	10	1	1	1	11	12	1	1	8	1	0	1	3	3	1	1	1	1	61	1
N-3-oxododecanoyl-L-homoserine lactone quorum-sensing transcriptional activator	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-3-oxohexanoyl-L-homoserine lactone quorum-sensing transcriptional activator	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-3-oxohexanoyl-L-homoserine lactone synthase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-3-oxooctanoyl-L-homoserine lactone quorum-sensing transcriptional activator	10	1	44	1	6	1	1	1	1	1	101	1	3	824	1	1	1	300	78	1
N-acetyl glucosamine transporter, NagP	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-acetyl-1-D-myo-inosityl-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase MshB	10	1	1	1	1	1	1	1	1	1	0	1	3	7	1	1	11	11	1	74
N-Acetyl-D-glucosamine ABC transport system ATP-binding protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-Acetyl-D-glucosamine ABC transport system, permease protein 1	10	10	0	2	2	1	0	2	4	1	1	0	4	0	1	0	1	0	2	0
N-Acetyl-D-glucosamine ABC transport system, permease protein 2	10	8	87	28	82	98	1	1	286	45	410	11	3	75	96	4	135	502	1	1
N-Acetyl-D-glucosamine ABC transport system, sugar-binding protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-Acetyl-D-glucosamine permease 2, possible	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-acetyl-L,L-diaminopimelate aminotransferase (EC 2.6.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-acetyl-L,L-diaminopimelate deacetylase (EC 3.5.1.47)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-acetyl-lysine deacetylase (EC 3.5.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-acetylgalactosamine 6-sulfate sulfatase (GALNS)	10	17	0	58	0	2	4	2	1	4	0	3	0	4	9	1	0	0	0	0
N-acetylgalactosamine kinase, ROK-type (EC 2.7.1.157)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-acetylgalactosamine-6-phosphate deacetylase (EC 3.5.1.25)	10	1	87	1	11	1	1	1	8	1	172	1	3	1466	1	1	1	773	121	1
N-acetylglucosamine kinase of eukaryotic type (EC 2.7.1.59)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-acetylglucosamine regulated methyl-accepting chemotaxis protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-acetylglucosamine related transporter, NagX	10	1	9	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)	10	8	1	1	507	1	1	1	49	1	0	1	3	0	1	1	1	7	1	74
N-acetylglucosamine-1-phosphate uridyltransferase eukaryotic (EC 2.7.7.23)	10	53	1	933	1	1	1	34	1	1	0	1	3	0	1	1	1	1	1	1
N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	10	2	0	13	0	0	1	2	0	0	0	1	4	1	10	0	0	1	0	0
N-acetylglucosamine-6P-responsive transcriptional repressor NagC, ROK family	10	1	1	1	1	6	1	1	1	1	0	1	3	5	1	1	11	14	1	144
N-acetylglucosamine-regulated outer membrane porin	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-acetylglucosamine-regulated TonB-dependent outer membrane receptor	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-acetylglutamate synthase (EC 2.3.1.1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-acetylhexosamine 1-kinase	10	0	0	1	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0
N-acetylmannosamine kinase (EC 2.7.1.60)	10	1	1	1	1	1	1	1	1	13	0	1	3	0	1	1	1	1	1	1
N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-acetylmannosaminyltransferase (EC 2.4.1.187)	10	1	1	1	44	1	1	1	1	1	0	1	3	0	1	1	11	1	1	1
N-acetylmuramic acid 6-phosphate etherase (EC 4.2.-.-)	10	1	1	1	1	6	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) AmpD	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-Acetylneuraminate cytidylyltransferase (EC 2.7.7.43)	10	0	0	12	0	0	0	0	0	4	0	1	0	1	5	0	0	0	0	0
N-acetylneuraminate lyase (EC 4.1.3.3)	10	1	1	1	6	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-acetylneuraminate mutarotase	10	375	0	1	714	781	0	58	83	616	8	2	0	0	0	103	19	1	0	62
N-acetylneuraminate synthase (EC 2.5.1.56)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-acetylneuraminic acid outer membrane channel protein NanC	10	1	18	1	1	6	1	1	17	1	431	1	3	179	1	1	1	33	35	1
N-acetylornithine carbamoyltransferase (EC 2.1.3.9)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	726	1	1
N-Acetyltransferase PseH involved in the biosynthesis of pseudaminic acid	10	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-acyl homoserine lactone hydrolase	10	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
N-acyl-L-homoserine lactone synthetase LasI	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-acyl-L-homoserine lactone synthetase RhlL	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-acylglucosamine 2-epimerase (EC 5.1.3.8)	10	1	2	6	0	2	0	0	1	3	0	2	4	1	1	0	0	0	2	0
N-carbamoyl-L-amino acid hydrolase (EC 3.5.1.87)	10	1	1	1	1	6	1	1	1	1	0	1	3	0	25	1	1	1	1	1
N-carbamoylputrescine amidase (3.5.1.53)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	975	1	1	1	1
N-carbamoylsarcosine amidase (EC 3.5.1.59)	10	1	96	439	1	57	60	9	1	78	0	11	3	8	116	1	1	40	43	14
N-formylglutamate deformylase (EC 3.5.1.68)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-linked glycosylation glycosyltransferase PglG	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-methylhydantoinase (ATP-hydrolyzing) (EC 3.5.2.14)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-methylhydantoinase A (EC 3.5.2.14)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-methylhydantoinase B (EC 3.5.2.14)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-methyltransferase (EC 2.1.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-Ribosylnicotinamide phosphorylase (EC 2.4.2.1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-succinyl-L,L-diaminopimelate aminotransferase alternative (EC 2.6.1.17)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N-succinyl-L,L-diaminopimelate desuccinylase (EC 3.5.1.18)	10	1	1	1	1	1	1	1	1	1	22	1	3	49	1	1	1	4	9	1
N(5),N(10)-methenyltetrahydromethanopterin cyclohydrolase (EC 3.5.4.27)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N5-methyltetrahydromethanopterin:coenzyme M methyltransferase subunit H (EC 2.1.1.86)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
N6-hydroxylysine O-acetyltransferase (EC 2.3.1.102), aerobactin biosynthesis protein IucB	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Na(+) H(+) antiporter subunit A	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Na(+) H(+) antiporter subunit B	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Na(+) H(+) antiporter subunit C	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
